Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Age group,55 to 64 years,2013,gs1datot,610.0023104616473,9.883219203103724,491.84026540248504,728.1643555208095,514,Total amount of donations,Average total amount of donations,ON,NA,
Age group,65 to 74 years,2013,gs1datot,857.9124728034924,8.258653506343695,719.0450682790981,996.7798773278867,426,Total amount of donations,Average total amount of donations,ON,NA,
Age group,75 years and over,2013,gs1datot,909.5986949936279,19.263195737515478,566.1781625391413,1253.0192274481144,275,Total amount of donations,Average total amount of donations,ON,NA,*
Age group,15 to 24 years,2013,gs1datot,229.32999471673654,17.62713950389729,150.0997871548668,308.5602022786063,101,Total amount of donations,Average total amount of donations,PR,NA,*
Age group,25 to 34 years,2013,gs1datot,427.1386104390352,12.983764682679471,318.4416105940053,535.8356102840651,243,Total amount of donations,Average total amount of donations,PR,NA,
Age group,35 to 44 years,2013,gs1datot,656.730788725184,12.286706147857338,498.5801537350035,814.8814237153645,271,Total amount of donations,Average total amount of donations,PR,NA,
Age group,45 to 54 years,2013,gs1datot,874.7920752515153,20.048770546825516,531.0436822041529,1218.5404682988776,328,Total amount of donations,Average total amount of donations,PR,NA,*
Age group,55 to 64 years,2013,gs1datot,1009.6023891824606,25.587531607627845,503.2803254710417,1515.9244528938793,412,Total amount of donations,Average total amount of donations,PR,NA,*
Age group,65 to 74 years,2013,gs1datot,914.2264060327727,13.260507714490899,676.6178885494882,1151.8349235160572,302,Total amount of donations,Average total amount of donations,PR,NA,
Age group,75 years and over,2013,gs1datot,773.5615013977457,10.94119749537208,607.6762420667837,939.4467607287077,245,Total amount of donations,Average total amount of donations,PR,NA,
Age group,15 to 24 years,2013,gs1datot,64.11210424608304,22.456083074560446,35.894370678002545,92.32983781416353,136,Total amount of donations,Average total amount of donations,QC,NA,*
Age group,25 to 34 years,2013,gs1datot,146.58812752312335,15.925658366006976,100.83252449537575,192.34373055087093,283,Total amount of donations,Average total amount of donations,QC,NA,
