,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
112,113,Raisons religieuses,Do not report motivation,2018,vd1dhrs,152.507253780457,7.749975357699389,129.341901267156,175.672606293758,813,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
113,114,Raisons religieuses,Report motivation,2018,vd1dhrs,233.524865452938,13.8894892973896,169.95262768928498,297.09710321659,160,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
114,115,Raisons religieuses,Do not report motivation,2018,vd1dhrs,136.397742547447,6.14140868783728,119.97962833047899,152.815856764414,1516,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
115,116,Raisons religieuses,Report motivation,2018,vd1dhrs,138.42637768577498,7.812118146105179,117.231264104552,159.621491266998,422,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
116,117,Raisons religieuses,Do not report motivation,2018,vd1dhrs,133.140028176825,9.06752671735057,109.478348025954,156.80170832769699,694,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
117,118,Raisons religieuses,Report motivation,2018,vd1dhrs,152.01484054230102,11.9879703814275,116.297448513034,187.732232571568,215,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,PR,
118,119,Raisons religieuses,Do not report motivation,2018,vd1dhrs,128.125633949659,9.08959613712684,105.299692148055,150.95157575126302,713,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,
119,120,Raisons religieuses,Report motivation,2018,vd1dhrs,218.55508234856003,18.0042564635308,141.432033150102,295.678131547019,96,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,QC,*
120,121,Croyances spirituelles,Do not report motivation,2018,vd1dhrs,139.669435548367,9.953202991625698,112.422834642975,166.91603645376,468,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
121,122,Croyances spirituelles,Report motivation,2018,vd1dhrs,193.886749482813,12.754968897834301,145.416458748778,242.357040216847,173,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AB,
122,123,Croyances spirituelles,Do not report motivation,2018,vd1dhrs,139.788762536783,8.72319401018768,115.888873588293,163.688651485272,1268,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
123,124,Croyances spirituelles,Report motivation,2018,vd1dhrs,191.018908659277,8.54957660141361,159.010133317585,223.027684000969,446,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,AT,
124,125,Croyances spirituelles,Do not report motivation,2018,vd1dhrs,146.144322234499,8.429423723896349,121.99928254107999,170.289361927918,729,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
125,126,Croyances spirituelles,Report motivation,2018,vd1dhrs,226.73143249397998,12.4609695484873,171.35669790697,282.10616708098996,244,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,BC,
126,127,Croyances spirituelles,Do not report motivation,2018,vd1dhrs,130.82469609482402,6.56696651752737,113.98622609250799,147.663166097141,1375,Total hours volunteered,Average Hours Volunteered by Volunteers Reporting Motivations,ON,
