,refDate,geo,subSector,valNorm_Goods,valNorm_Membership,valNorm_Investments,valNorm_HouseDons,valNorm_CorpDons,valNorm_Government,valNorm_Households,valNormP_Goods,valNormP_Membership,valNormP_Investments,valNormP_HouseDons,valNormP_CorpDons,valNormP_Government,valNormP_Households,label_Goods,label_Membership,label_Investments,label_HouseDons,label_CorpDons,label_Government,label_Households,label_Goods_FR,label_Membership_FR,label_Investments_FR,label_HouseDons_FR,label_CorpDons_FR,label_Government_FR,label_Households_FR
69,2008-01-01,ON,Organismes communautaires à but non lucratif,5075000000,,369000000,,1170000000,6123000000,,1.0758956964172144,,0.5685670261941448,,1.031746031746032,1.160318362706083,,$5.1B,,$369.0M,,$1.2B,$6.1B,,5.1 G$,,369.0 M$,,1.2 G$,6.1 G$,
70,2008-01-01,ON,institutions commerciales à but non lucratif,7533000000,2454000000.0,450000000,,0,212000000,33000000.0,1.1163307646710137,1.1164695177434032,1.113861386138614,,,1.1157894736842104,1.137931034482759,$7.5B,$2.5B,$450.0M,,,$212.0M,$33.0M,7.5 G$,2.5 G$,450.0 M$,,,212.0 M$,33.0 M$
71,2008-01-01,ON,Institutions gouvernementales à but non lucratif,9599000000,,276000000,,1135000000,28364000000,,1.0325946643717727,,0.7095115681233933,,0.8750963762528913,1.032018629020521,,$9.6B,,$276.0M,,$1.1B,$28.4B,,9.6 G$,,276.0 M$,,1.1 G$,28.4 G$,
72,2008-01-01,PE,Organismes communautaires à but non lucratif,34000000,,2000000,,8000000,29000000,,1.0,,0.4,,1.0,1.0740740740740742,,$34.0M,,$2.0M,,$8.0M,$29.0M,,34.0 M$,,2.0 M$,,8.0 M$,29.0 M$,
73,2008-01-01,PE,institutions commerciales à but non lucratif,69000000,22000000.0,4000000,,0,2000000,0.0,1.1129032258064515,1.1,1.0,,,1.0,,$69.0M,$22.0M,$4.0M,,,$2.0M,,69.0 M$,22.0 M$,4.0 M$,,,2.0 M$,
74,2008-01-01,PE,Institutions gouvernementales à but non lucratif,71000000,,1000000,,9000000,513000000,,1.0441176470588236,,0.5,,1.0,1.0321931589537223,,$71.0M,,$1.0M,,$9.0M,$513.0M,,71.0 M$,,1.0 M$,,9.0 M$,513.0 M$,
75,2008-01-01,QC,Organismes communautaires à but non lucratif,2736000000,,199000000,,632000000,4456000000,,1.0737833594976451,,0.5669515669515669,,1.030995106035889,1.1933583288698446,,$2.7B,,$199.0M,,$632.0M,$4.5B,,2.7 G$,,199.0 M$,,632.0 M$,4.5 G$,
76,2008-01-01,QC,institutions commerciales à but non lucratif,4212000000,1372000000.0,252000000,,0,118000000,18000000.0,1.1160572337042924,1.1163547599674533,1.1150442477876106,,,1.1132075471698113,1.125,$4.2B,$1.4B,$252.0M,,,$118.0M,$18.0M,4.2 G$,1.4 G$,252.0 M$,,,118.0 M$,18.0 M$
77,2008-01-01,QC,Institutions gouvernementales à but non lucratif,3983000000,,133000000,,497000000,20693000000,,1.0545406407201483,,0.6456310679611651,,0.984158415841584,1.028223602484472,,$4.0B,,$133.0M,,$497.0M,$20.7B,,4.0 G$,,133.0 M$,,497.0 M$,20.7 G$,
78,2008-01-01,SK,Organismes communautaires à but non lucratif,277000000,,20000000,,64000000,344000000,,1.0862745098039217,,0.5714285714285714,,1.0491803278688523,1.18213058419244,,$277.0M,,$20.0M,,$64.0M,$344.0M,,277.0 M$,,20.0 M$,,64.0 M$,344.0 M$,
