refDate,geo,valNormP_coreEmp_All,valNormP_govtEmp_All,valNormP_coreEmp_Sports,valNormP_coreEmp_Education,valNormP_govtEmp_Education,valNormP_coreEmp_Health,valNormP_govtEmp_Health,valNormP_coreEmp_SocServ,valNormP_govtEmp_SocServ,valNormP_coreEmp_Environment,valNormP_coreEmp_DevtHousing,valNormP_coreEmp_Advocacy,valNormP_coreEmp_Fdns,valNormP_coreEmp_International,valNormP_coreEmp_Religion,valNormP_coreEmp_ProfAssoc,valNormP_coreEmp_Other,valNorm_coreEmp_All,valNorm_govtEmp_All,valNorm_coreEmp_Sports,valNorm_coreEmp_Education,valNorm_govtEmp_Education,valNorm_coreEmp_Health,valNorm_govtEmp_Health,valNorm_coreEmp_SocServ,valNorm_govtEmp_SocServ,valNorm_coreEmp_Environment,valNorm_coreEmp_DevtHousing,valNorm_coreEmp_Advocacy,valNorm_coreEmp_Fdns,valNorm_coreEmp_International,valNorm_coreEmp_Religion,valNorm_coreEmp_ProfAssoc,valNorm_coreEmp_Other
2011-01-01,MB,1.1428571428571428,1.0735294117647058,1,1.5,1,1,1.0816326530612246,1.1111111111111112,1.1666666666666667,NA,1,NA,1,NA,1.3333333333333333,1.2,1.5,32000,73000,3000,3000,13000,1000,53000,10000,7000,NA,1000,NA,1000,NA,4000,6000,3000
2011-01-01,SK,1.1764705882352942,1.105263157894737,1,1,1,1,1.131578947368421,1.25,1.2,NA,NA,NA,1,NA,1,1,1.5,20000,63000,2000,1000,14000,1000,43000,5000,6000,NA,NA,NA,1000,NA,3000,4000,3000
2011-01-01,AB,1.1111111111111112,1.0545454545454545,1.1428571428571428,1.2,0.9772727272727273,1,1.0849056603773586,1,1.1538461538461537,NA,1.5,1,1,1,1,1.1176470588235294,1.3333333333333333,70000,174000,8000,6000,43000,2000,115000,12000,15000,NA,3000,1000,3000,1000,8000,19000,8000
2011-01-01,BC,1.1411764705882352,1.0520231213872833,1,1.0909090909090908,1.0555555555555556,1,1.0471698113207548,1.1764705882352942,1.0769230769230769,NA,1.6666666666666667,1,1,1,1.0909090909090908,1.1,1.5,97000,182000,9000,12000,57000,3000,111000,20000,14000,NA,5000,1000,3000,1000,12000,22000,9000
2011-01-01,YT,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01,NT,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1000,2000,NA,NA,NA,NA,2000,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01,NU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-01,CA,1.1198786039453719,1.043847241867044,1.0634920634920635,1.126984126984127,1.0216867469879518,1.1379310344827587,1.0519774011299434,1.204225352112676,1.0521739130434782,1,1.3333333333333333,0.9,1.04,1.2,1.0129870129870129,1.0875,1.21875,738000,1476000,67000,71000,424000,33000,931000,171000,121000,1000,24000,9000,26000,6000,78000,174000,78000
2012-01-01,NL,1.1428571428571428,1.096774193548387,1,NA,1.2222222222222223,NA,1.1,2,0.6666666666666666,NA,NA,NA,NA,NA,1,1,1,8000,34000,1000,NA,11000,NA,22000,2000,2000,NA,NA,NA,NA,NA,1000,2000,1000
2012-01-01,PE,1,1.1428571428571428,NA,NA,1,NA,1.2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3000,8000,NA,NA,2000,NA,6000,1000,NA,NA,NA,NA,NA,NA,NA,1000,NA
