,Unnamed: 0,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
81,82,Ne savent pas où donner,Report barrier,2018,gs1datot,198.59574950818802,16.6285831288839,133.870566647565,263.320932368812,96,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,*
82,83,Ne savent pas où donner,Do not report barrier,2018,gs1datot,232.038678307368,3.3109756782918596,216.98077636708,247.096580247656,2238,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
83,84,Ne savent pas où donner,Report barrier,2018,gs1datot,196.017063010574,10.7269000864696,154.805773468516,237.22835255263197,209,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
84,85,Ne savent pas où donner,Do not report barrier,2018,gs1datot,244.510216171987,4.35047912366723,223.661362098413,265.359070245561,1050,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
85,86,Ne savent pas où donner,Report barrier,2018,gs1datot,226.672892166727,12.100426483677401,172.914242129571,280.431542203883,134,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
86,87,Ne savent pas où donner,Do not report barrier,2018,gs1datot,152.472616761975,4.11236549419419,140.183189278802,164.762044245148,1139,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
87,88,Ne savent pas où donner,Report barrier,2018,gs1datot,93.7341693132344,14.157277221017498,67.7250430928491,119.74329553362,123,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
88,89,Difficulté à trouver une cause,Do not report barrier,2018,gs1datot,253.648049901778,5.400080310954291,226.802034345022,280.494065458534,664,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
89,90,Difficulté à trouver une cause,Report barrier,2018,gs1datot,232.904878455344,18.951562439856,146.393805752584,319.415951158104,63,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,*
90,91,Difficulté à trouver une cause,Do not report barrier,2018,gs1datot,199.59370069865201,3.1892096113997,187.11762544027303,212.06977595703097,2321,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
91,92,Difficulté à trouver une cause,Report barrier,2018,gs1datot,173.42245914784698,11.1865303885164,135.399243903739,211.44567439195401,195,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
92,93,Difficulté à trouver une cause,Do not report barrier,2018,gs1datot,231.515506187076,4.52023796432547,211.004381554952,252.0266308192,1023,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
93,94,Difficulté à trouver une cause,Report barrier,2018,gs1datot,184.20061316965197,10.6210789479172,145.855696386743,222.545529952561,117,Total donation amount,Average Amount Donated by Donors Reporting Barriers,BC,
94,95,Difficulté à trouver une cause,Do not report barrier,2018,gs1datot,234.518167850528,3.24482343848392,219.603428980673,249.432906720382,2197,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
95,96,Difficulté à trouver une cause,Report barrier,2018,gs1datot,176.214596282228,9.25881754669725,144.237023486005,208.192169078451,249,Total donation amount,Average Amount Donated by Donors Reporting Barriers,ON,
96,97,Difficulté à trouver une cause,Do not report barrier,2018,gs1datot,253.65217279805,4.304118652178951,232.254284653617,275.050060942482,1045,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
97,98,Difficulté à trouver une cause,Report barrier,2018,gs1datot,177.70882935673802,11.6793991120665,137.029142930867,218.38851578260898,140,Total donation amount,Average Amount Donated by Donors Reporting Barriers,PR,
98,99,Difficulté à trouver une cause,Do not report barrier,2018,gs1datot,144.69002802315,4.09000934228114,133.091283256271,156.288772790029,1143,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,
99,100,Difficulté à trouver une cause,Report barrier,2018,gs1datot,148.455525377566,17.0805791525125,98.75659412782021,198.15445662731202,118,Total donation amount,Average Amount Donated by Donors Reporting Barriers,QC,*
100,101,Don de temps,Do not report barrier,2018,gs1datot,253.750512356084,5.943615716177971,224.190423088376,283.310601623791,516,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
101,102,Don de temps,Report barrier,2018,gs1datot,247.596974205159,8.854351786257391,204.628473843768,290.56547456655,206,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AB,
102,103,Don de temps,Do not report barrier,2018,gs1datot,196.276087386619,3.66437590744319,182.179450850179,210.372723923059,1844,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
103,104,Don de temps,Report barrier,2018,gs1datot,199.00209774100398,5.54900034140365,177.358946363522,220.645249118486,657,Total donation amount,Average Amount Donated by Donors Reporting Barriers,AT,
