geo,refDate,CommNPOs,GovNPOs,BusNPOs,TotNPOs,TotEcon
NU,2020-01-01,1.7179487179487178,0.8148148148148148,1.3181818181818181,1.2173913043478262,2.743172951885566
CA,2021-01-01,1.5705121780094218,1.6416460905349795,1.6003326403326403,1.6260803873147907,1.597125754295395
NL,2021-01-01,1.4489795918367347,1.492063492063492,1.6511627906976745,1.4997845756139594,1.5157461433938135
PE,2021-01-01,1.6206896551724137,3.126126126126126,1.2857142857142858,2.6149068322981366,1.7474174599959489
NS,2021-01-01,1.5085106382978724,1.5515695067264574,1.7350746268656716,1.559527082760517,1.4833595200685616
NB,2021-01-01,1.4965753424657535,1.393146979260595,1.593984962406015,1.4236311239193085,1.4736113993221276
QC,2021-01-01,1.5048910626945309,1.7374681786623467,1.6228104320747372,1.6907676746538314,1.5987038093427142
ON,2021-01-01,1.60440097799511,1.5953269255090425,1.5703090988245538,1.594432683212468,1.5984518504780951
MB,2021-01-01,1.552220888355342,1.5930073750341436,1.3896103896103895,1.5699938511990161,1.5698975478339527
SK,2021-01-01,1.7254509018036073,1.616647465437788,1.396774193548387,1.6134080822237795,1.4690520152369546
AB,2021-01-01,1.572700296735905,1.5743589743589743,1.503030303030303,1.5670796695976552,1.523272983164052
BC,2021-01-01,1.57168458781362,1.7503447087211306,1.7910608508346797,1.7243246569441881,1.7690976339571802
YT,2021-01-01,1.7878787878787878,1.9047619047619047,1.3333333333333333,1.7962962962962963,1.7332709405708937
NT,2021-01-01,1.6363636363636365,1.5352697095435686,1.4186046511627908,1.5335365853658536,1.2384039900249377
NU,2021-01-01,1.8205128205128205,0.8333333333333334,1.4545454545454546,1.2869565217391303,3.046814044213264
